Description:,,,,,,,,,,,,,,,,,,,,,,
Source: https://doi.org/10.5061/dryad.9p8cz8wc6,,,,,,,,,,,,,,,,,,,,,,
"Citation: Acevedo, Miguel; Beaudrot, Lydia; Melendez-Ackerman, Elvia; Tremblay, Raymond (2020), Local extinction risk under climate change in a neotropical asymmetrically dispersed epiphyte, Dryad, Dataset, https://doi.org/10.5061/dryad.9p8cz8wc6",,,,,,,,,,,,,,,,,,,,,,
License: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UID,x.coord,y.coord,z.coord,Phorophyte,X70199,X20100,X80100,X10101,X60101,X10102,X60102,X120202,X61003,X12404,X71704,X12205,X91705,X72406,X20307,X61507,X10208,Total_Moss_area
1,59.60221531,-80.98892201,19.44291058,ROCKS,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,233
2,57.38897219,-81.14368705,19.3654337,ROCKS,0,0,0,0,1,1,0,1,1,1,0,,0,0,0,,0,140
3,55.14561109,-80.9111317,19.28725882,ROCKS,0,0,0,,0,,0,0,0,,,,0,0,,0,0,97
4,54.13863641,-79.37053621,18.94437973,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
6,1.015673534,-1.347844303,0.088447766,TREES,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,30
7,-3.405918913,-2.254328551,0.214054061,TREES,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,30
8,-2.56176565,-4.62154757,2.028362594,TREES,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,48
9,6.383323327,-8.626566373,2.675656165,ROCKS,1,1,1,1,1,,1,1,1,1,1,1,1,1,,0,1,114
10,5.648891896,-9.140820797,2.597215997,ROCKS,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,104
11,4.795406306,-8.993165903,2.417539298,ROCKS,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,19
12,4.169856994,-9.476236491,2.468225498,ROCKS,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,66
13,3.285700355,-9.034376174,3.454644669,TREES,1,0,1,0,1,,1,1,0,1,1,1,0,1,1,0,0,41
14,1.197180782,-10.49677332,3.410141033,TREES,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,40
15,4.778116682,-9.931110372,3.824727479,TREES,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,61
16,0.85000684,-12.51290701,5.170342867,TREES,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,79
17,10.89870049,-13.60872815,5.342482822,TREES,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,48
18,8.969876197,-13.60872815,5.275126793,TREES,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,69
19,8.676483657,-15.83094499,5.672792766,TREES,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,15
20,8.960917022,-17.96106109,5.92745567,TREES,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,37
21,9.203194015,-14.47263185,4.199098295,ROCKS,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,0,1,196
22,9.145408595,-14.52111957,4.208360366,ROCKS,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,36
23,7.84946486,-15.35175384,3.972246141,ROCKS,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,32
24,7.34161608,-16.09087686,4.069828484,ROCKS,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,97
25,11.31158315,-14.94005047,4.618878085,ROCKS,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,23
26,10.60369531,-15.87944936,4.259260889,ROCKS,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,11
27,9.889956693,-16.86126837,4.618878085,ROCKS,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,38
28,9.017652212,-17.82391691,4.425758407,ROCKS,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,21
29,46.87067489,-63.88294145,15.28608564,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,558
30,49.11733119,-63.40539991,15.40645834,ROCKS,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,27
31,49.15524034,-62.9599171,15.11378715,ROCKS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23
32,48.7106843,-62.33899024,14.99116183,ROCKS,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,416
33,47.44840227,-67.49074515,16.56608077,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40
34,46.4256575,-66.53702022,16.31950035,ROCKS,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,128
35,45.45219475,-66.99303471,15.60673731,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
36,44.45483297,-67.20249721,16.19681666,ROCKS,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,19
37,48.451464,-67.89600839,16.8559581,ROCKS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,41
38,47.96725255,-69.03673908,16.81268272,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
39,48.71258738,-69.6432257,17.49895597,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
41,61.93655348,-84.61948328,20.55819505,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,149
42,61.60732241,-86.39585518,20.66869291,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,40
43,63.74315064,-85.40501408,19.95590934,ROCKS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,122
44,62.57163809,-86.83428653,20.04739756,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70
45,71.9691999,-100.9014041,23.17315707,TREES,1,1,0,1,,,1,1,1,1,1,,1,0,1,1,0,41
46,70.72346963,-102.7482751,22.93901331,TREES,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,82
47,73.23063549,-102.2780194,23.88989297,TREES,0,0,0,0,,,0,,0,1,0,,0,0,0,0,0,30
48,72.12841906,-99.9499479,23.07176446,TREES,0,0,0,0,,,0,0,0,0,0,0,,0,0,,0,25
49,94.6396507,-118.9342949,28.80393052,ROCKS,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
50,95.77504995,-120.130756,28.54268497,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
51,94.66861206,-122.2529387,27.6611863,ROCKS,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,23
52,93.30908027,-124.2709214,28.80393052,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
53,94.01045449,-118.5710283,28.10232557,ROCKS,1,1,1,0,1,1,0,1,1,,1,,1,1,1,1,1,49
54,93.47363926,-118.542895,26.70195493,ROCKS,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0,3
